"Rk","Pk","Tm","Player","College","Yrs","G","MP","PTS","TRB","AST","FGP","threePP","FTP","MPG","PPG","RBG","APG","WS","WS48","BPM","VORP"
"1","1","MIN","Karl-Anthony Towns","Kentucky","1","8","233","129","84","9","0.486","0.25","0.889","29.1","16.1","10.5","1.1","0.7","0.152","2","0.2"
"2","2","LAL","DAngelo Russell","Ohio State University","1","8","201","74","29","21","0.397","0.31","0.6","25.1","9.3","3.6","2.6","-0.1","-0.03","-2.8","0"
"3","3","PHI","Jahlil Okafor","Duke ","1","8","270","165","55","10","0.507",,"0.59","33.8","20.6","6.9","1.3","0.1","0.011","-3.9","-0.1"
"4","4","NYK","Kristaps Porzingis","","1","9","222","104","81","6","0.392","0.208","0.821","24.7","11.6","9","0.7","0.5","0.1","-1.6","0"
"5","5","ORL","Mario Hezonja","","1","9","137","43","12","6","0.349","0.368","1","15.2","4.8","1.3","0.7","-0.1","-0.044","-7.1","-0.2"
"6","6","SAC","Willie Cauley-Stein","Kentucky","1","9","191","57","52","4","0.706",,"0.529","21.2","6.3","5.8","0.4","0.7","0.164","3.4","0.3"
"7","7","DEN","Emmanuel Mudiay","","1","8","246","105","33","50","0.327","0.333","0.647","30.8","13.1","4.1","6.3","-0.4","-0.082","-4.2","-0.1"
"8","8","DET","Stanley Johnson","Arizona","1","8","170","61","33","10","0.358","0.211","0.6","21.3","7.6","4.1","1.3","0.2","0.045","-1.8","0"
"9","9","CHO","Frank Kaminsky","Wisconsin","1","8","72","24","9","7","0.421","0.625","0.75","9","3","1.1","0.9","0.2","0.164","2.6","0.1"
"10","10","MIA","Justise Winslow","Duke","1","9","256","65","42","13","0.444","0.2","0.75","28.4","7.2","4.7","1.4","0.4","0.084","0.6","0.2"
"11","11","IND","Myles Turner","Texas","1","8","127","49","23","1","0.553",,"0.7","15.9","6.1","2.9","0.1","0.3","0.12","-2.7","0"
"12","12","UTA","Trey Lyles","Kentucky","1","8","62","11","17","2","0.211","0.333","0.5","7.8","1.4","2.1","0.3","-0.1","-0.082","-8.2","-0.1"
"13","13","PHO","Devin Booker","Kentucky","1","5","41","19","3","2","0.571","0.667","0.333","8.2","3.8","0.6","0.4","0.1","0.14","0.7","0"
"14","14","OKC","Cameron Payne","Murray State","1","3","10","2","0","4","0.25","0",,"3.3","0.7","0","1.3","0","0.094","-12.5","0"
"15","15","ATL","Kelly Oubre","Kansas","1","4","42","18","5","2","0.412","0.25","0.4","10.5","4.5","1.3","0.5","0","-0.057","-8.5","-0.1"
"16","16","BOS","Terry Rozier","Louisville","1","5","44","9","8","4","0.167","0.125",,"8.8","1.8","1.6","0.8","-0.2","-0.25","-13.1","-0.1"
"17","17","MIL","Rashad Vaughn","UNLV","1","6","51","18","4","0","0.438","0.5",,"8.5","3","0.7","0","0","-0.035","-9.6","-0.1"
"18","18","HOU","Sam Dekker","Wisconsin","1","3","6","0","1","0",,,,"2","0","0.3","0","0","0.098","0.2","0"
"19","19","WAS","Jerian Grant","Notre Dame","1","9","193","62","23","37","0.415","0.077","0.81","21.4","6.9","2.6","4.1","0.3","0.076","-2","0"
"20","20","TOR","Delon Wright","Utah","1","3","8","0","3","0","0","0",,"2.7","0","1","0","-0.1","-0.567","-30.8","-0.1"
"21","21","DAL","Justin Anderson","Virginia","1","7","56","27","12","2","0.524","0.375","1","8","3.9","1.7","0.3","0.1","0.126","0.5","0"
"22","22","CHI","Bobby Portis","Arkansas","1","2","20","12","2","1","0.6",,,"10","6","1","0.5","0","0.096","-0.1","0"
"23","23","POR","Rondae Hollis-Jefferson","Arizona","1","8","140","25","37","11","0.458",,"0.375","17.5","3.1","4.6","1.4","0.1","0.039","-0.4","0.1"
"24","24","CLE","Tyus Jones","Duke","1","2","14","1","1","1","0","0","0.5","7","0.5","0.5","0.5","-0.1","-0.263","-10.9","0"
"25","25","MEM","Jarell Martin","LSU",,,,,,,,,,,,,,,,,
"26","26","SAS","Nikola Milutinov","",,,,,,,,,,,,,,,,,
"27","27","LAL","Larry Nance Jr.","Wyoming","1","4","73","27","17","1","0.706","1","0.5","18.3","6.8","4.3","0.3","0.1","0.092","-5","-0.1"
"28","28","BOS","R.J. Hunter","Georgia State","1","4","56","14","10","1","0.4","0.222",,"14","3.5","2.5","0.3","0","0.012","-6.1","-0.1"
"29","29","BRK","Chris McCullough","Syracuse",,,,,,,,,,,,,,,,,
"30","30","GSW","Kevon Looney","UCLA",,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,
,,"","","",,,,,,,,,,,,,,,,,
"31","31","MIN","Cedi Osman","",,,,,,,,,,,,,,,,,
"32","32","HOU","Montrezl Harrell","Louisville","1","7","76","35","14","1","0.714",,"0.556","10.9","5","2","0.1","0.2","0.143","-3.1","0"
"33","33","BOS","Jordan Mickey","LSU","1","2","5","5","3","1","0.5",,"1","2.5","2.5","1.5","0.5","0.1","0.931","33.7","0"
"34","34","LAL","Anthony Brown","Stanford","1","2","7","5","0","0","0.5","0.5","1","3.5","2.5","0","0","0.1","0.432","11.2","0"
"35","35","PHI","Willy Hernangomez","",,,,,,,,,,,,,,,,,
"36","36","MIN","Rakeem Christmas","Syracuse",,,,,,,,,,,,,,,,,
"37","37","PHI","Richaun Holmes","Bowling Green State University","1","7","101","36","16","4","0.5","0.143","0.6","14.4","5.1","2.3","0.6","0.2","0.087","-0.2","0"
"38","38","DET","Darrun Hilliard","Villanova",,,,,,,,,,,,,,,,,
"39","39","CHO","Juan Pablo Vaulet","",,,,,,,,,,,,,,,,,
"40","40","MIA","Josh Richardson","Tennessee","1","3","42","9","3","2","0.429","0.5","0.5","14","3","1","0.7","0.1","0.102","-0.1","0"
"41","41","BRK","Pat Connaughton","Notre Dame","1","3","7","5","1","0","0.25","1","1","2.3","1.7","0.3","0","0","0.005","-14.6","0"
"42","42","UTA","Olivier Hanlan","Boston College",,,,,,,,,,,,,,,,,
"43","43","IND","Joseph Young","Oregon","1","2","4","0","0","0",,,,"2","0","0","0","0","-0.341","-15","0"
"44","44","PHO","Andrew Harrison","Kentucky",,,,,,,,,,,,,,,,,
"45","45","BOS","Marcus Thornton","College of William  and amp; Mary",,,,,,,,,,,,,,,,,
"46","46","MIL","Norman Powell","UCLA","1","5","36","10","6","1","0.294","0",,"7.2","2","1.2","0.2","-0.1","-0.099","-9.1","-0.1"
"47","47","PHI","Arturas Gudaitis","",,,,,,,,,,,,,,,,,
"48","48","OKC","Dakari Johnson","Kentucky",,,,,,,,,,,,,,,,,
"49","49","WAS","Aaron White","Iowa",,,,,,,,,,,,,,,,,
"50","50","ATL","Marcus Eriksson","",,,,,,,,,,,,,,,,,
"51","51","ORL","Tyler Harvey","Eastern Washington University",,,,,,,,,,,,,,,,,
"52","52","DAL","Satnam Singh","",,,,,,,,,,,,,,,,,
"53","53","CLE","SirDominic Pointer","St. Johns",,,,,,,,,,,,,,,,,
"54","54","UTA","Dani Diez","",,,,,,,,,,,,,,,,,
"55","55","SAS","Cady Lalanne","University of Massachusetts Amherst",,,,,,,,,,,,,,,,,
"56","56","NOP","Branden Dawson","Michigan State University",,,,,,,,,,,,,,,,,
"57","57","DEN","Nikola Radicevic","",,,,,,,,,,,,,,,,,
"58","58","PHI","J.P. Tokoto","University of North Carolina",,,,,,,,,,,,,,,,,
"59","59","ATL","Dimitrios Agravanis","",,,,,,,,,,,,,,,,,
"60","60","PHI","Luka Mitrovic","",,,,,,,,,,,,,,,,,
